Stat,X-cord(m),Y-cord(m),Period(s),R(Zxx),I(Zxx),R(Zxy),I(Zxy),R(Zyx),I(Zyx),R(Zyy),I(Zyy)
61,-28125,28125,316.2,-2.995,0.3379,187.7,-137.1,-122.4,138.2,3.046,-0.07501
61,-28125,28125,1000,-0.7757,1.837,109.8,-100.8,-75.41,74.44,1.107,-1.521
62,-28125,34375,0.1,-0.2554,-0.02149,12500,-8472,-12320,8060,0.1591,0.05625
62,-28125,34375,0.3162,-0.1628,-0.02628,4883,-5800,-4822,5712,0.1145,0.02074
62,-28125,34375,1,-0.2198,-0.1185,2568,-2840,-2507,2788,0.1502,0.09671
62,-28125,34375,3.162,-0.2998,-0.2348,1445,-1524,-1407,1499,0.2167,0.1874
62,-28125,34375,10,-0.423,-0.4812,818.5,-826.4,-790.7,820.7,0.3141,0.3634
62,-28125,34375,31.62,-0.8362,-1.506,476,-436.3,-448,460.9,0.3075,1.426
62,-28125,34375,100,-3.451,-1.481,316.8,-233.3,-231.6,265.8,3.315,1.862
62,-28125,34375,316.2,-3.592,1.649,213.3,-162.5,-122.9,132.7,3.753,-1.357
62,-28125,34375,1000,-0.4521,2.37,114.6,-117.7,-80.35,74.05,0.8662,-2.055
63,-28125,40625,0.1,-0.6627,0.08308,13410,-11330,-13220,10420,0.508,0.04108
63,-28125,40625,0.3162,-0.7314,-0.2357,5433,-6437,-5179,6213,0.3597,0.1419
63,-28125,40625,1,-0.9383,-0.4625,2997,-3248,-2833,3110,0.5235,0.337
63,-28125,40625,3.162,-1.3,-0.861,1701,-1742,-1587,1681,0.757,0.6636
63,-28125,40625,10,-2.079,-1.651,987.9,-935.1,-891.9,928.6,1.103,1.509
63,-28125,40625,31.62,-4.458,-1.857,617.1,-504.9,-483.9,532.8,4.005,2.955
63,-28125,40625,100,-5.82,0.7575,408.7,-305.1,-244.3,279.9,6.236,-0.3739
63,-28125,40625,316.2,-3.146,3.616,247.5,-220.5,-147.4,136.4,3.601,-3.461
63,-28125,40625,1000,0.8661,2.699,117.3,-145.1,-102.7,83.67,-0.3032,-2.514
64,-28125,46875,0.1,-1.034,-1.041,15710,-17430,-14820,17010,1.327,0.2524
64,-28125,46875,0.3162,-0.8601,-0.6635,7814,-8846,-7373,8275,1.921,0.9641
64,-28125,46875,1,-1.577,-1.358,4417,-4657,-4151,4431,2.67,1.741
64,-28125,46875,3.162,-2.857,-2.144,2532,-2513,-2331,2432,4.175,3.034
64,-28125,46875,10,-5.44,-1.026,1504,-1382,-1286,1367,9.523,4.629
64,-28125,46875,31.62,-5.955,1.312,917.4,-794.7,-689.3,732.3,11.04,-2.461
64,-28125,46875,100,-3.407,4.416,549.2,-498.4,-405.9,365.4,6.306,-5.946
64,-28125,46875,316.2,2.118,4.902,279.6,-328.3,-282.2,195.3,-0.2547,-6.284
64,-28125,46875,1000,5.582,1.23,116.6,-182.9,-204.9,142.8,-4.713,-1.99
65,-21875,-46875,0.1,0.0003068,-0.001924,12040,-7498,-12040,7497,-0.0008104,0.0001373
65,-21875,-46875,0.3162,-0.0004451,-0.0002807,4758,-5586,-4758,5585,0.0002214,0.0003849
65,-21875,-46875,1,-0.0002089,-0.0003473,2432,-2715,-2432,2715,0.00005775,0.0002957
65,-21875,-46875,3.162,-0.0005192,-0.001236,1366,-1457,-1366,1457,0.0003869,0.001052
65,-21875,-46875,10,-0.0008119,-0.003061,768,-796.2,-767.8,796.5,0.001122,0.003629
65,-21875,-46875,31.62,-0.0001414,-0.008947,432.1,-440,-431.9,440.7,0.001252,0.009997
65,-21875,-46875,100,0.04694,0.01431,242.5,-243.9,-243.8,244.4,-0.05206,-0.01113
65,-21875,-46875,316.2,-0.2238,-0.2961,143.7,-129.3,-137.8,144.4,0.2657,0.2549
65,-21875,-46875,1000,-0.2049,0.1417,93.21,-76.9,-73.32,80.57,0.1675,-0.2269
66,-21875,-40625,0.1,0.0005195,-0.001819,12040,-7497,-12040,7497,-0.00002753,0.0003215
66,-21875,-40625,0.3162,-0.0002423,-0.0002083,4758,-5585,-4758,5585,0.0001798,0.0001031
66,-21875,-40625,1,0.00004098,-0.0000642,2432,-2715,-2432,2715,-0.0001509,0.00005427
66,-21875,-40625,3.162,-0.0001442,-0.0005698,1366,-1457,-1366,1457,-0.00005793,0.0003424
66,-21875,-40625,10,-0.0002247,-0.001334,767.8,-796.3,-767.8,796.4,0.0003349,0.001556
66,-21875,-40625,31.62,0.00003932,-0.00351,431.9,-440.4,-431.9,440.7,0.0003138,0.004175
66,-21875,-40625,100,0.01769,0.02966,242.6,-245,-242.9,244.4,-0.02103,-0.02899
66,-21875,-40625,316.2,-0.1139,-0.2431,139.2,-131.2,-139.5,143.3,0.1509,0.2066
66,-21875,-40625,1000,-0.1565,0.09185,90.92,-74.28,-74.28,80.96,0.1144,-0.1619
67,-21875,-34375,0.1,0.0004977,-0.001724,12040,-7497,-12040,7497,0.00007584,0.00001277
67,-21875,-34375,0.3162,-0.0002383,-0.0001948,4758,-5585,-4758,5585,0.00004017,0.00004095
67,-21875,-34375,1,0.00008103,0.00001946,2432,-2715,-2432,2715,-0.0001718,-0.00002815
67,-21875,-34375,3.162,-0.00008433,-0.000357,1366,-1457,-1366,1457,-0.0001083,0.0001196
67,-21875,-34375,10,-0.0001223,-0.0007136,767.8,-796.4,-767.8,796.4,0.0001974,0.0008119
67,-21875,-34375,31.62,-0.0001669,-0.001957,431.9,-440.5,-431.9,440.7,0.0001316,0.001866
67,-21875,-34375,100,0.0006444,0.02196,242.9,-245.3,-242.5,244.6,-0.002904,-0.02202
67,-21875,-34375,316.2,-0.0476,-0.1696,136.5,-133.2,-140.3,142.5,0.07985,0.1395
67,-21875,-34375,1000,-0.1104,0.05307,89.3,-72.59,-74.86,81.08,0.06794,-0.108
68,-21875,-28125,0.1,0.0004357,-0.001575,12040,-7497,-12040,7497,0.0004574,-0.0001876
68,-21875,-28125,0.3162,-0.0002301,-0.000173,4758,-5585,-4758,5585,-0.00004444,0.00001047
68,-21875,-28125,1,0.0000973,0.00006021,2432,-2715,-2432,2715,-0.0001587,-0.00006222
68,-21875,-28125,3.162,-0.00006058,-0.0002477,1366,-1457,-1366,1457,-0.0001341,0.000008827
68,-21875,-28125,10,-0.00007304,-0.0003854,767.8,-796.4,-767.8,796.5,0.0001255,0.0004303
68,-21875,-28125,31.62,0.0002838,-0.001279,431.9,-440.6,-431.9,440.7,0.0004015,0.0008454
68,-21875,-28125,100,-0.003612,0.008816,243,-245.2,-242.3,244.8,0.001452,-0.008923
68,-21875,-28125,316.2,-0.01054,-0.0878,135.1,-134.7,-140.6,142.1,0.03708,0.0656
68,-21875,-28125,1000,-0.06557,0.02069,88.35,-71.62,-75.18,81.05,0.02619,-0.05971
69,-21875,-21875,0.1,0.0003598,-0.001391,12040,-7497,-12040,7497,0.0007393,0.00001541
69,-21875,-21875,0.3162,-0.000199,-0.0001454,4758,-5585,-4758,5585,-0.00004126,0.00003262
69,-21875,-21875,1,0.0001093,0.00008776,2432,-2715,-2432,2715,-0.000142,-0.00008918
69,-21875,-21875,3.162,-0.00004157,-0.0001683,1366,-1457,-1366,1457,-0.0001255,-0.00006831
69,-21875,-21875,10,-0.00002889,-0.0001499,767.8,-796.4,-767.8,796.5,0.00006375,0.0001738
69,-21875,-21875,31.62,-0.0001995,-0.00004161,431.9,-440.6,-431.9,440.7,0.000213,0.0004624
69,-21875,-21875,100,-0.002089,-0.004132,243.1,-245.2,-242.3,244.9,-0.00008173,0.004279
69,-21875,-21875,316.2,0.01181,-0.003756,134.6,-135.2,-140.6,142.1,0.00789,-0.009624
69,-21875,-21875,1000,-0.02156,-0.008456,88.08,-71.25,-75.29,80.92,-0.01205,-0.01345
70,-21875,-15625,0.1,0.0002773,-0.001205,12040,-7497,-12040,7497,0.0009812,0.0002191
70,-21875,-15625,0.3162,-0.0001893,-0.0001291,4758,-5585,-4758,5585,-0.0000778,0.00003774
70,-21875,-15625,1,0.0001209,0.0001105,2432,-2715,-2432,2715,-0.0001305,-0.0001099
70,-21875,-15625,3.162,-0.00002289,-0.00009679,1366,-1457,-1366,1457,-0.0001589,-0.0001394
70,-21875,-15625,10,0.00001434,0.0000576,767.8,-796.4,-767.8,796.5,0.0000008321,-0.0000601
70,-21875,-15625,31.62,-0.0003536,-0.0001114,431.9,-440.6,-431.9,440.7,0.000136,-0.0001218
70,-21875,-15625,100,-0.001686,-0.01801,243.1,-245.4,-242.4,244.7,-0.001187,0.01818
70,-21875,-15625,316.2,0.03366,0.07918,134.6,-134.6,-140.2,142.4,-0.02157,-0.08345
70,-21875,-15625,1000,0.02163,-0.03692,88.5,-71.42,-75.24,80.7,-0.04772,0.03346
71,-21875,-9375,0.1,0.0001927,-0.001048,12040,-7497,-12040,7497,0.001213,0.0003585
71,-21875,-9375,0.3162,-0.0001602,-0.0001451,4758,-5585,-4758,5585,-0.00008047,0.00002836
71,-21875,-9375,1,0.0001341,0.0001327,2432,-2715,-2432,2715,-0.000119,-0.0001247
71,-21875,-9375,3.162,-0.000003452,-0.0000221,1366,-1457,-1366,1457,-0.0001747,-0.0002153
71,-21875,-9375,10,0.00005673,0.0002698,767.8,-796.4,-767.8,796.5,-0.00006707,-0.0002942
71,-21875,-9375,31.62,-0.0003494,0.0006119,431.9,-440.6,-431.9,440.7,0.0002237,-0.0008334
71,-21875,-9375,100,-0.009166,-0.03333,242.9,-245.7,-242.6,244.4,0.006389,0.03392
71,-21875,-9375,316.2,0.06833,0.1581,135.5,-132.9,-139.4,143.1,-0.06411,-0.1533
71,-21875,-9375,1000,0.06385,-0.06701,89.59,-72.16,-75.08,80.39,-0.08151,0.08334
72,-21875,-3125,0.1,0.0001101,-0.0009388,12040,-7497,-12040,7497,0.001369,0.0004735
72,-21875,-3125,0.3162,-0.0001481,-0.0001624,4758,-5585,-4758,5585,-0.000084,0.00002883
72,-21875,-3125,1,0.0001508,0.0001596,2432,-2715,-2432,2715,-0.0001145,-0.0001479
72,-21875,-3125,3.162,0.00001823,0.00006839,1366,-1457,-1366,1457,-0.0001843,-0.0003255
72,-21875,-3125,10,0.0000964,0.0005269,767.8,-796.4,-767.8,796.4,-0.0001291,-0.0005681
72,-21875,-3125,31.62,-0.0005557,0.002373,431.9,-440.5,-431.9,440.7,0.0005808,-0.002017
72,-21875,-3125,100,-0.03353,-0.04603,242.3,-246,-243.2,244,0.03134,0.04763
72,-21875,-3125,316.2,0.1277,0.228,137.5,-130.4,-138.3,143.8,-0.1311,-0.2143
72,-21875,-3125,1000,0.105,-0.1011,91.35,-73.55,-74.84,79.96,-0.1139,0.1385
73,-21875,3125,0.1,0.00003983,-0.0008795,12040,-7497,-12040,7497,0.001429,0.0005281
73,-21875,3125,0.3162,-0.00016,-0.0001678,4758,-5585,-4758,5585,-0.0001239,0.00002284
73,-21875,3125,1,0.0001762,0.000203,2432,-2715,-2432,2715,-0.0001111,-0.0001934
73,-21875,3125,3.162,0.00004843,0.0002059,1366,-1457,-1366,1457,-0.0002262,-0.0004582
73,-21875,3125,10,0.000134,0.0009273,767.8,-796.4,-767.8,796.4,-0.0001941,-0.001009
73,-21875,3125,31.62,-0.0003638,0.004742,431.9,-440.4,-431.9,440.7,-0.0002065,-0.005088
73,-21875,3125,100,-0.08184,-0.04133,240.9,-245.8,-244.3,243.8,0.0819,0.04285
73,-21875,3125,316.2,0.2216,0.2801,141.2,-127.5,-136.5,144.5,-0.2318,-0.2574
73,-21875,3125,1000,0.1451,-0.1421,93.79,-75.71,-74.55,79.38,-0.1451,0.2017
74,-21875,9375,0.1,0.00002994,-0.0008341,12040,-7497,-12040,7497,0.001382,0.0003989
74,-21875,9375,0.3162,-0.0001324,-0.0001265,4758,-5585,-4758,5585,-0.0001807,0.000008035
74,-21875,9375,1,0.0002513,0.0003131,2432,-2715,-2432,2715,-0.0001595,-0.0003075
74,-21875,9375,3.162,0.000147,0.0005108,1366,-1457,-1366,1457,-0.000321,-0.0007722
74,-21875,9375,10,0.0002551,0.001787,767.8,-796.3,-767.8,796.4,-0.0003444,-0.001923
74,-21875,9375,31.62,0.003737,0.007724,432,-440.3,-431.8,440.8,-0.004237,-0.008943
74,-21875,9375,100,-0.1473,0.01368,238.8,-243.7,-245.9,244.5,0.1517,-0.0154
74,-21875,9375,316.2,0.3572,0.3007,147.3,-125.1,-133.9,144.9,-0.3732,-0.2687
74,-21875,9375,1000,0.1839,-0.1937,96.88,-78.91,-74.26,78.59,-0.1745,0.2771
75,-21875,15625,0.1,0.0003809,-0.000627,12040,-7499,-12040,7497,0.001004,-0.0001102
75,-21875,15625,0.3162,0.0002208,0.000006153,4758,-5586,-4758,5585,-0.0005694,-0.00006327
75,-21875,15625,1,0.0006637,0.0007294,2432,-2715,-2432,2715,-0.0005333,-0.0007186
75,-21875,15625,3.162,0.0007389,0.001495,1366,-1457,-1366,1457,-0.0009091,-0.001752
75,-21875,15625,10,0.001096,0.004292,768,-796.2,-767.8,796.5,-0.001197,-0.004425
75,-21875,15625,31.62,0.008976,0.007242,432.2,-440.2,-431.6,440.6,-0.01324,-0.008006
75,-21875,15625,100,-0.1829,0.1608,238,-237.6,-247.5,246.9,0.191,-0.1722
75,-21875,15625,316.2,0.5391,0.2696,156.4,-124.3,-130.5,144.5,-0.5594,-0.2269
75,-21875,15625,1000,0.221,-0.2613,100.6,-83.54,-74.08,77.52,-0.2001,0.3709
76,-21875,21875,0.1,0.002818,0.0004989,12050,-7521,-12050,7506,-0.001195,-0.001641
76,-21875,21875,0.3162,0.002231,0.0003511,4760,-5591,-4759,5587,-0.002418,-0.0004622
76,-21875,21875,1,0.003028,0.002535,2435,-2718,-2433,2716,-0.002774,-0.002461
76,-21875,21875,3.162,0.004158,0.005321,1368,-1458,-1367,1458,-0.004182,-0.005381
76,-21875,21875,10,0.006217,0.01301,769.3,-796.6,-768.2,796.8,-0.006146,-0.0128
76,-21875,21875,31.62,-0.0008701,0.01156,432.3,-439.7,-431.9,440.1,-0.007814,-0.0007407
76,-21875,21875,100,-0.07265,0.4049,244.3,-227.6,-247.2,251.9,0.07783,-0.4368
76,-21875,21875,316.2,0.769,0.1569,169.4,-127,-126.4,142.5,-0.7916,-0.1007
76,-21875,21875,1000,0.2538,-0.3528,105,-90.33,-74.19,76.07,-0.2158,0.4923
77,-21875,28125,0.1,0.01673,0.004771,12130,-7670,-12080,7579,-0.01194,-0.006929
77,-21875,28125,0.3162,0.01199,0.001439,4778,-5625,-4766,5604,-0.01097,-0.001516
77,-21875,28125,1,0.01534,0.01022,2456,-2737,-2443,2726,-0.01321,-0.009445
77,-21875,28125,3.162,0.02148,0.02062,1380,-1468,-1372,1463,-0.01944,-0.0191
77,-21875,28125,10,0.03175,0.04451,777.2,-800.7,-771.1,800,-0.02988,-0.04072
77,-21875,28125,31.62,-0.01151,0.1212,436.9,-436.2,-435.6,441.8,0.03949,-0.07639
77,-21875,28125,100,0.34,0.6339,266.6,-219.9,-241.7,259,-0.3577,-0.6968
77,-21875,28125,316.2,1.039,-0.0844,187.5,-136.9,-122.2,138.3,-1.06,0.161
77,-21875,28125,1000,0.2695,-0.4784,109.8,-100.7,-75.24,74.35,-0.2004,0.6545
78,-21875,34375,0.1,0.08945,0.006331,12490,-8451,-12310,8045,-0.05412,-0.02062
78,-21875,34375,0.3162,0.05657,0.008871,4880,-5795,-4820,5709,-0.04043,-0.007197
78,-21875,34375,1,0.07702,0.04144,2565,-2837,-2505,2786,-0.05295,-0.03404
78,-21875,34375,3.162,0.105,0.0816,1444,-1522,-1406,1498,-0.07634,-0.06594
78,-21875,34375,10,0.1493,0.1683,817.5,-825.7,-790.1,820,-0.1104,-0.1279
78,-21875,34375,31.62,0.3016,0.4791,475,-436,-447.7,460.4,-0.1048,-0.4982
78,-21875,34375,100,1.132,0.5789,316,-232.8,-231.5,265.9,-1.222,-0.6617
78,-21875,34375,316.2,1.295,-0.5254,213.1,-162.1,-122.5,132.7,-1.297,0.6454
78,-21875,34375,1000,0.2106,-0.6387,114.5,-117.5,-80.07,73.88,-0.07076,0.8632
79,-21875,40625,0.1,0.2411,-0.03694,13390,-11280,-13200,10360,-0.1781,-0.01616
79,-21875,40625,0.3162,0.26,0.08231,5419,-6423,-5169,6201,-0.1265,-0.04942
79,-21875,40625,1,0.3346,0.162,2988,-3239,-2824,3101,-0.1844,-0.1186
79,-21875,40625,3.162,0.4627,0.3011,1695,-1737,-1583,1676,-0.2664,-0.2335
79,-21875,40625,10,0.7517,0.564,984.4,-932.6,-889.2,925.8,-0.3864,-0.531
79,-21875,40625,31.62,1.477,0.5718,614.6,-503,-482.7,531.5,-1.397,-1.062
79,-21875,40625,100,2.01,-0.08831,407.5,-303.7,-243.2,279.5,-2.317,0.1591
79,-21875,40625,316.2,1.232,-1.211,247.2,-219.6,-146.4,136,-1.198,1.481
79,-21875,40625,1000,-0.156,-0.7374,117.2,-144.8,-102,83.2,0.4702,1.067
80,-21875,46875,0.1,0.3925,0.3604,15660,-17340,-14780,16920,-0.4671,-0.08486
80,-21875,46875,0.3162,0.3427,0.2336,7773,-8805,-7323,8229,-0.6757,-0.3388
80,-21875,46875,1,0.5957,0.4761,4393,-4634,-4124,4404,-0.938,-0.6125
80,-21875,46875,3.162,1.056,0.7423,2518,-2500,-2316,2416,-1.465,-1.068
80,-21875,46875,10,1.941,0.2523,1496,-1374,-1278,1359,-3.331,-1.681
80,-21875,46875,31.62,1.851,-0.439,913.3,-789.8,-683.4,728.5,-3.949,0.7656
80,-21875,46875,100,1.397,-1.208,547.6,-495.6,-401.5,363.1,-2.535,2.319
80,-21875,46875,316.2,-0.4316,-1.713,279.3,-327.1,-279,193.6,0.3998,2.841
80,-21875,46875,1000,-1.651,-0.247,116.3,-182.5,-202.6,141.2,2.536,1.02
81,-15625,-46875,0.1,-0.00107,-0.002887,12040,-7498,-12040,7497,0.0004861,0.001107
81,-15625,-46875,0.3162,-0.001654,-0.0008217,4758,-5586,-4758,5585,0.001742,0.0009589
81,-15625,-46875,1,-0.001599,-0.002392,2432,-2715,-2432,2715,0.001745,0.002615
81,-15625,-46875,3.162,-0.002746,-0.006429,1366,-1457,-1366,1457,0.003099,0.006793
81,-15625,-46875,10,-0.004586,-0.01695,768,-796.2,-767.8,796.5,0.00581,0.01864
81,-15625,-46875,31.62,-0.004801,-0.04853,432.2,-440,-431.9,440.7,0.00587,0.05409
81,-15625,-46875,100,0.2627,0.05569,242.5,-243.8,-243.8,244.4,-0.2686,-0.04736
81,-15625,-46875,316.2,-1.207,-1.524,143.9,-129.4,-137.7,144.2,1.253,1.398
81,-15625,-46875,1000,-1.179,0.8388,93.25,-76.99,-73.42,80.65,1.079,-0.8394
82,-15625,-40625,0.1,0.0001884,-0.001991,12040,-7497,-12040,7497,-0.0001348,0.0005595
82,-15625,-40625,0.3162,-0.000477,-0.0004817,4758,-5585,-4758,5585,0.000497,0.0004024
82,-15625,-40625,1,-0.0002482,-0.000866,2432,-2715,-2432,2715,0.0001622,0.0009221
82,-15625,-40625,3.162,-0.0007039,-0.002799,1366,-1457,-1366,1457,0.0005464,0.00268
82,-15625,-40625,10,-0.001353,-0.007578,767.8,-796.3,-767.8,796.4,0.001617,0.008036
82,-15625,-40625,31.62,0.0002822,-0.02162,431.9,-440.4,-431.9,440.7,0.0002467,0.02187
82,-15625,-40625,100,0.1076,0.152,242.6,-244.9,-242.9,244.4,-0.1125,-0.1481
82,-15625,-40625,316.2,-0.637,-1.258,139.3,-131.2,-139.5,143.2,0.6893,1.139
82,-15625,-40625,1000,-0.8979,0.5446,90.96,-74.34,-74.4,81.05,0.7738,-0.5627
83,-15625,-34375,0.1,0.0002997,-0.001666,12040,-7497,-12040,7497,-0.00006846,0.0001747
83,-15625,-34375,0.3162,-0.0003149,-0.0003683,4758,-5585,-4758,5585,0.000196,0.0002123
83,-15625,-34375,1,-0.00003486,-0.0003987,2432,-2715,-2432,2715,-0.0000273,0.0004278
83,-15625,-34375,3.162,-0.0003591,-0.001566,1366,-1457,-1366,1457,0.0001908,0.001377
83,-15625,-34375,10,-0.0007535,-0.004087,767.8,-796.4,-767.8,796.4,0.0009284,0.004273
83,-15625,-34375,31.62,-0.0003162,-0.01074,431.9,-440.5,-431.9,440.7,0.0008806,0.01106
83,-15625,-34375,100,0.0123,0.1194,242.9,-245.2,-242.5,244.6,-0.01678,-0.1162
83,-15625,-34375,316.2,-0.2833,-0.8817,136.6,-133.2,-140.3,142.4,0.3462,0.779
83,-15625,-34375,1000,-0.6267,0.3105,89.34,-72.64,-74.99,81.17,0.491,-0.3476
84,-15625,-28125,0.1,0.0002865,-0.001402,12040,-7497,-12040,7497,0.0003777,-0.0001367
84,-15625,-28125,0.3162,-0.0002788,-0.0003268,4758,-5585,-4758,5585,0.00003568,0.0001171
84,-15625,-28125,1,0.0000452,-0.0001555,2432,-2715,-2432,2715,-0.00007617,0.0001903
84,-15625,-28125,3.162,-0.0002179,-0.0009074,1366,-1457,-1366,1457,0.00004064,0.0007001
84,-15625,-28125,10,-0.0004595,-0.002208,767.8,-796.4,-767.8,796.4,0.000594,0.002295
84,-15625,-28125,31.62,-0.0007614,-0.005614,431.9,-440.6,-431.9,440.7,0.001061,0.005575
84,-15625,-28125,100,-0.01516,0.05173,243,-245.2,-242.3,244.8,0.009699,-0.04882
84,-15625,-28125,316.2,-0.07623,-0.46,135.1,-134.6,-140.6,142,0.1473,0.378
84,-15625,-28125,1000,-0.3635,0.1113,88.39,-71.66,-75.31,81.14,0.2236,-0.166
85,-15625,-21875,0.1,0.0002572,-0.001158,12040,-7497,-12040,7497,0.0007445,0.000008293
85,-15625,-21875,0.3162,-0.0002217,-0.0002631,4758,-5585,-4758,5585,-0.00001063,0.00008688
85,-15625,-21875,1,0.0001034,0.00002238,2432,-2715,-2432,2715,-0.0001062,0.00001377
85,-15625,-21875,3.162,-0.000107,-0.0004256,1366,-1457,-1366,1457,-0.00004189,0.0002154
85,-15625,-21875,10,-0.0001943,-0.0008634,767.8,-796.4,-767.8,796.5,0.0003086,0.0009074
85,-15625,-21875,31.62,-0.0004951,-0.002556,431.9,-440.6,-431.9,440.7,0.001015,0.002079
85,-15625,-21875,100,-0.009233,-0.01894,243.1,-245.2,-242.3,244.8,0.002338,0.02146
85,-15625,-21875,316.2,0.05586,-0.02708,134.6,-135.1,-140.5,142,0.01926,-0.03473
85,-15625,-21875,1000,-0.1077,-0.07078,88.12,-71.28,-75.43,81,-0.0326,0.001385
86,-15625,-15625,0.1,0.000225,-0.0009549,12040,-7497,-12040,7497,0.001047,0.000211
86,-15625,-15625,0.3162,-0.0001808,-0.0001899,4758,-5585,-4758,5585,-0.00008324,0.00004703
86,-15625,-15625,1,0.0001561,0.0001808,2432,-2715,-2432,2715,-0.0001371,-0.0001437
86,-15625,-15625,3.162,-0.000001732,0.000004445,1366,-1457,-1366,1457,-0.0001658,-0.0002173
86,-15625,-15625,10,0.00007008,0.0003182,767.8,-796.4,-767.8,796.5,0.00002903,-0.0003152
86,-15625,-15625,31.62,-0.0009132,0.0009276,431.9,-440.6,-431.9,440.7,0.001177,-0.0005871
86,-15625,-15625,100,-0.007283,-0.09231,243.1,-245.4,-242.4,244.7,-0.001377,0.09525
86,-15625,-15625,316.2,0.1844,0.3983,134.7,-134.5,-140.1,142.3,-0.1085,-0.444
86,-15625,-15625,1000,0.1401,-0.2502,88.53,-71.46,-75.38,80.78,-0.2798,0.17
87,-15625,-9375,0.1,0.000193,-0.0008111,12040,-7497,-12040,7497,0.001314,0.0003079
87,-15625,-9375,0.3162,-0.0001262,-0.0001378,4758,-5585,-4758,5585,-0.0001324,-0.00001142
87,-15625,-9375,1,0.0002092,0.0003427,2432,-2715,-2432,2715,-0.0001695,-0.0002951
87,-15625,-9375,3.162,0.0001045,0.0004477,1366,-1457,-1366,1457,-0.0002693,-0.000662
87,-15625,-9375,10,0.0003266,0.00154,767.8,-796.4,-767.8,796.5,-0.0002491,-0.001563
87,-15625,-9375,31.62,-0.001927,0.004723,431.9,-440.6,-431.9,440.7,0.00188,-0.004685
87,-15625,-9375,100,-0.04902,-0.1707,242.9,-245.7,-242.7,244.4,0.03854,0.1773
87,-15625,-9375,316.2,0.3766,0.799,135.5,-132.9,-139.4,142.9,-0.3023,-0.8351
87,-15625,-9375,1000,0.3791,-0.4399,89.62,-72.2,-75.22,80.47,-0.519,0.3534
88,-15625,-3125,0.1,0.0001643,-0.0007279,12040,-7497,-12040,7497,0.0015,0.0003149
88,-15625,-3125,0.3162,-0.00006617,-0.000095,4758,-5585,-4758,5585,-0.0001755,-0.00007213
88,-15625,-3125,1,0.0002704,0.0005331,2432,-2715,-2432,2715,-0.0002161,-0.0004751
88,-15625,-3125,3.162,0.0002187,0.0009788,1366,-1457,-1366,1457,-0.0003715,-0.00121
88,-15625,-3125,10,0.000564,0.003032,767.8,-796.4,-767.8,796.4,-0.0005038,-0.003058
88,-15625,-3125,31.62,-0.002786,0.01228,431.9,-440.5,-431.9,440.7,0.003282,-0.01208
88,-15625,-3125,100,-0.1777,-0.2313,242.3,-246,-243.3,244,0.1677,0.2457
88,-15625,-3125,316.2,0.6913,1.147,137.6,-130.4,-138.2,143.6,-0.6209,-1.182
88,-15625,-3125,1000,0.6077,-0.653,91.39,-73.59,-74.98,80.05,-0.7499,0.5651
89,-15625,3125,0.1,0.0001669,-0.0006701,12040,-7497,-12040,7497,0.001538,0.0002387
89,-15625,3125,0.3162,0.00001483,-0.00002882,4758,-5585,-4758,5585,-0.0002939,-0.0001512
89,-15625,3125,1,0.0003697,0.0008175,2432,-2715,-2432,2715,-0.0002924,-0.0007478
89,-15625,3125,3.162,0.0003805,0.001775,1366,-1457,-1366,1457,-0.0005477,-0.001982
89,-15625,3125,10,0.0008089,0.005333,767.8,-796.4,-767.8,796.4,-0.0007668,-0.005348
89,-15625,3125,31.62,0.001841,0.02671,431.9,-440.4,-431.9,440.7,0.00001756,-0.02749
89,-15625,3125,100,-0.4245,-0.1904,240.8,-245.7,-244.3,243.9,0.4237,0.2167
89,-15625,3125,316.2,1.175,1.397,141.4,-127.6,-136.4,144.3,-1.112,-1.439
89,-15625,3125,1000,0.8232,-0.9043,93.83,-75.77,-74.69,79.47,-0.9713,0.8206
90,-15625,9375,0.1,0.0004299,-0.0004656,12040,-7497,-12040,7497,0.001239,-0.0001051
90,-15625,9375,0.3162,0.0003298,0.0001268,4758,-5585,-4758,5585,-0.0006231,-0.0003089
90,-15625,9375,1,0.0007387,0.001464,2432,-2715,-2432,2715,-0.0006335,-0.00137
90,-15625,9375,3.162,0.0009268,0.003478,1366,-1457,-1366,1457,-0.001084,-0.003638
90,-15625,9375,10,0.001537,0.01013,767.9,-796.3,-767.8,796.4,-0.00151,-0.01003
90,-15625,9375,31.62,0.02217,0.04136,432,-440.3,-431.8,440.8,-0.02181,-0.04679
90,-15625,9375,100,-0.7425,0.1171,238.7,-243.4,-245.9,244.6,0.7686,-0.08137
90,-15625,9375,316.2,1.856,1.477,147.5,-125.2,-133.9,144.7,-1.809,-1.533
90,-15625,9375,1000,1.021,-1.213,96.92,-79,-74.41,78.7,-1.179,1.14
91,-15625,15625,0.1,0.002538,0.0007406,12040,-7500,-12040,7498,-0.0008461,-0.001614
91,-15625,15625,0.3162,0.002231,0.0006076,4758,-5586,-4758,5586,-0.002533,-0.000755
91,-15625,15625,1,0.002935,0.003719,2432,-2716,-2432,2715,-0.002737,-0.003544
91,-15625,15625,3.162,0.004137,0.008766,1366,-1457,-1366,1457,-0.004228,-0.008731
91,-15625,15625,10,0.00613,0.0236,768,-796.2,-767.9,796.5,-0.006034,-0.0229
91,-15625,15625,31.62,0.04936,0.03121,432.2,-440.2,-431.6,440.6,-0.0653,-0.03946
